id,url,text,w_what,w_where,w_when,w_who_author,w_who_victim,w_who_other,w_why,h_how,newspaper,activelearning_tag
193,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/02/02/news/montefiorino-casa-svaligiata-e-tentativi-di-furto-caccia-a-due-banditi-1.38415183,"MONTEFIORINO. Sembra proprio che l’Appennino in questi giorni sia bersaglio di una banda di ladri che si muove rapidamente da un paese all’altro scegliendo l’orario della prima oscurità (18-19), quando chi lavora deve ancora rientrare, per i blitz in abitazione. Domenica in quell’orario sono state due le visite sgradite a Montefiorino. Una in pieno centro: hanno fatto irruzione in un appartamento sopra il Sigma di via Giovanni XXIII mentre la proprietaria era fuori, portando via alcune cose. Con tutta probabilità le stesse persone hanno agito, poco prima o poco dopo, nella zona periferica di via Piscina, dove hanno tentato di entrare in una villetta (anche qui inquilina assente) ma è scattato l’allarme e hanno dovuto desistere. Non prima però di aver staccato la sirena dal muro mettendola, forse nel tentativo di farla tacere, nel lavandino riempito d’acqua. Che non si tratti di circostanze isolate lo conferma quanto avvenuto venerdì sera, dove sempre nello stesso orario due persone sospette si sono aggirate nella zona di via Querceti. Qui hanno abbandonato una vecchia Audi A3 nei pressi dell’azienda agricola Bagatti (zona artigianale) per poi scappare a piedi nei campi muniti di torce, viste chiaramente nella notte. Che volessero entrare in azienda o altrove, evidentemente sono stati disturbati da qualcosa e hanno dovuto ripiegare. L’auto pare non risultasse rubata, ma sembrava così lunedì anche per la Jeep Cherokee trovata dalla polizia locale stranamente abbandonata a Serra, poi risultata appena sottratta da un’azienda a Prignano. Può essere anche solo una coincidenza, ma sempre venerdì sera a Guiglia due persone incappucciate sono state viste scavalcare la recinzione delle vecchie scuole elementari di Monteorsello e salire su un’Audi A3 (Sport back grigio chiaro) sgommata via in direzione Guiglia. Si tratta della stessa auto poi abbandonata a Montefiorino? I carabinieri mantengono il più stretto riserbo sulle indagini in corso, così come sui riscontri del posto di blocco allestito sempre venerdì notte a Ponte Dolo (sulla sp 486 in uscita da Montefiorino verso il Reggiano), un dispiegamento di forze che non è certo passato inosservato. — ","[""appartamento"", ""villetta "", ""una vecchia Audi A3"", ""Jeep Cherokee""]","[""MONTEFIORINO""]","[""Domenica"", ""l\u2019orario della prima oscurit\u00e0 (18-19)""]","[""due persone sospette""]","[""proprietaria"", ""inquilina""]",[],,,Gazzetta di Modena,furto
195,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/02/02/news/assalto-nella-notte-alla-coop-di-rovereto-1.38412394,"NOVI. Novemila euro lasciati nell’ufficio della Coop e rapidamente prelevati da ladri violenti e spregiudicati, nella notte di San Geminiano.. È il bottino del colpo facile messo a segno alla mezzanotte e quaranta di ieri notte in centro a Rovereto in via Modena-Chiesa Sud al supermercato Coop della frazione martoriata dal sisma e, purtroppo dal fenomeno ladri che sta mettendo a dura prova tutto il territorio della Bassa. La banda, cinque persone, si è “procurata” un furgone Transit vecchio modello. Lo hanno rubato in una piccola impresa edile del paese, mettendolo il moto e usandolo in retromarcia come ariete contro le vetrate del negozio, che hanno ceduto al primo colpo. Un boato che ha attirato l’attenzione di qualche residente, ma i ladri hanno avuto il tempo di agire: erano stati alla Coop per un sopralluogo: confondendosi con i clienti, e studiando l’organizzazione interna, avevano notato la cassaforte nell’ufficio del negozio. Dove evidentemente lasciare una cifra così rilevante era stato considerato non tanto rischioso. I cinque invece hanno rubato anche un’auto a Carpi e, tenendo il baule aperto, una volta penetrati nel negozio hanno preso la cassaforte l’hanno caricata, e si sono dileguati nel nulla. Il furgone invece lo hanno lasciato, abbandonandolo davanti alle vetrate demolite del supermercato. Pochi minuti e sono intervenuti i carabinieri, ma della banda non c’era più traccia. La notizia ha fatto ben presto il giro del paese, attirando i tanti curiosi, oltre ai dirigenti del negozio, che hanno formalizzato danni e denuncia per l’avvio delle indagini. Indirizzate ovviamente sulle bande specializzate in questo tipo di reati, ed evidentemente del tutto intenzionati venerdì notte a commettere il colpo. Risulta infatti che prima di riuscire nel furto del Transit abbiano tentato di rubare almeno un altro paio di furgoni ad un’altra ditta di Rovereto: i proprietari ieri mattina li hanno trovati danneggiati e hanno fatto segnalazione. Non sarà facile tuttavia individuare gli autori del furto, che hanno agito con il volto coperto. Tra l’altro ieri avventori e commentatori del negozio preso d’assalto e rimasto chiuso assicuravano sulla totale inadeguatezza del sistema di videosorveglianza, che comunque, come di prassi, verrà esaminato per lo sviluppo delle indagini. — . ","[""Novemila euro"", ""vetrate demolite"", ""cassaforte"", ""Transit vecchio modello"", ""auto""]","[""in centro a Rovereto in via Modena-Chiesa Sud""]","[""nella notte di San Geminiano""]","[""ladri"", ""banda, cinque persone""]","[""Coop"", ""i proprietari""]","[""dirigenti del negozio""]",,,Gazzetta di Modena,furto
199,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/30/news/furto-da-100mila-euro-portati-via-gioielli-contanti-e-lingotti-1.38404589,"Un’ondata di furti colpisce la città da qualche giorno. In uno dei questi casi i malviventi hanno intascato un maxi bottino che si aggirerebbe sui 100mila euro. Una cifra raggiunta portando via dall’abitazione presa di mira un consistente quantitativo di valori, composto da contanti, gioielli, oro e lingotti. I ladri hanno colpito prevalentemente in appartamento, negli ultimi giorni. Hanno messo a segno furti in via Tito Speri, in via Salvaterra. Altri colpi sono stati segnalati in via Caduti del Lavoro, in pieno centro, e zone limitrofe. L’orario in cui entrano in azione, in molte occasioni, è quello della fascia preserale o serale, quando le persone sono ancora fuori casa per lavoro. Quando è già calato il buio e quindi sono maggiormente liberi di agire indisturbati. In una di queste circostanze la proprietaria ha sorpreso i ladri mentre rientravano a casa. Nei giorni scorsi, poi, in piazzale Francia, nei pressi del “Biscione”, un pakistano ha dichiarato di essere stato aggredito da alcuni connazionali per una vecchia questione riguardante il danneggiamento di un motorino. S.A. ","[""contanti, gioielli, oro e lingotti""]","[""via Tito Speri, in via Salvaterra""]","[""fascia preserale o serale""]","[""malviventi"", ""ladri"", ""connazionali""]","[""proprietaria"", ""un pakistano""]","["" ""]",,,Gazzetta di Modena,furto
158556,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/03/13/news/carpi-tentano-furto-a-supermercato-bloccati-dai-carabinieri-1.38587737,"CARPI. Cercano di introdursi all'interno del supermercato di via Colombo a Carpi, ma sono sorpresi dai Carabinieri. E' accaduto intorno alle 2 del 13 marzo. I carabinieri del radiomobile hanno bloccato e denunciato alla procura della Repubblica tre giovani stranieri, un tunisino ventottenne, un brasiliano diciannovenne ed un italiano minorenne, poiché poco prima avevano tentato di introdursi I tre erano riusciti ad introdursi nel supermercato senza riuscire ad asportare alcunché per l’immediato intervento dei carabinieri. I tre sono stati denunciati anche per l’inottemperanza delle limitazioni imposte dal provvedimento urgente di contenimento dell’emergenza epidemiologica. ",[],"[""supermercato di via Colombo a Carpi""]","[""intorno alle 2 del 13 marzo""]","[""un tunisino ventottenne, un brasiliano diciannovenne ed un italiano minorenne""]",[],"[""Carabinieri""]",,,Gazzetta di Modena,furto
1500053,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/04/04/news/ladri-visitano-un-garage-e-rubano-due-biciclette-1.38680591,"Per ora vengono risparmiati gli appartamenti, a causa del “sovraffollamento” forzato per gli obblighi anti contagio dell'epidemia, ma i ladri non si fermano sono sempre in agguato e cercano soluzioni alternative e soprattutto di comodo. Ora nel mirino finiscono i garage, quelli più facili da abbordare e che possono garantire un bottino non pesante e agile da portare via, ovvero le biciclette. Ne sanno qualcosa in via Frosinone dove ieri mattina una pattuglia della Volante è stata chiamata sul posto per effettuare un sopralluogo. I malviventi infatti avevano forzato la porta di un box garage impossessandosi di due biciclette. Un analogo furto è stato messo a segno qualche giorno fa alla Madonnina, in via Marco Polo: anche in questo caso sono sparite due biciclette. — ","[""due biciclette""]","[""in via Frosinone""]","[""ieri""]","[""malviventi"", ""malviventi""]",[],"[""una pattuglia della Volante""]",,,Gazzetta di Modena,furto
158574,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/03/05/news/scam-il-colpo-e-da-400mila-euro-l-azienda-chimica-nessun-pericolo-1.38553728,"MODENA. Il colpo alla Scam è da 400mila euro: è stato studiato nei minimi particolari e probabilmente la banda di ladri che lo ha portato a termine ha avuto il supporto di un basista. Perché i ladri hanno colpito con il mirino, andando cioè a prendere esclusivamente gli agrofarmaci, quei prodotti che comunemente vengono chiamati pesticidi o fitofarmaci. Prodotti di altissima qualità e soprattutto di enorme valore commerciale, per questo il bottino è così ingente. E, guarda caso, l’allarme intrusione in quel magazzino non è scattato durante le fasi del colpo. Un’azione, come si suppone, anche piuttosto lunga, perché i prodotti, in flaconi, taniche, confezioni di piccolo e medio taglio, sono stati trasportati con carriole dal magazzino all’esterno, dove un capiente camion dei ladri è stato caricato completamente. Leggi anche Modena, maxi furto all’azienda Scam: i ladri fanno razzia di prodotti Caccia dunque agli autori materiali del colpo e indagini serrate per scoprire chi probabilmente ha aiutato la banda ad agire senza problemi: la squadra Mobile e gli esperti della Scientifica, non appena è stato dato loro l’allarme si sono messi in moto visionando filmati di videosorveglianza e cercando in loco tracce, impronte ed altri elementi utili alle indagini. Da parte sua l’azienda Scam, che si estende su un’area di 15 ettari ai piedi del cavalcavia di strada Bellaria e che basa sulla qualità e sulla sostenibilità eco ambientale tutta la sua produzione, vuole fermamente tranquillizzare la cittadinanza e l’opinione pubblica. Evidenziando e sottolineando cioè come «non sia stata rubata alcuna materia prima pericolosa per l’uomo o l’ambiente e in particolare nessun cosiddetto “precursore” di potenziali armi chimiche - afferma il direttore della Scam Felice Lo Faso - quale potrebbe essere, solo per fare un esempio, il nitrato d’ammonio o quant’altro. Diciamo questo perché non si ingenerino timori ma anche e soprattutto perché la Scam, semplicemente, non li produce né li possiede in qualsivoglia magazzino in sede». I ladri, come accennato, hanno caricato sul loro camion 400mila euro di agrofarmaci, quei prodotti che comunemente si chiamano pesticidi e fitofarmaci. «Ma non si tratta certo- ammonisce Lo Faso - di prodotti “comuni”, che si possono trovare sugli scaffali dei supermercati. Tutt'altro. Innanzitutto, come veri e propri farmaci, sono tracciabili, hanno uno specifico numero di lotto che li contraddistingue. Inoltre il loro uso è esclusivamente professionale: chi può utilizzarli in agricoltura deve aver conseguito un apposito patentino per l’acquisto e l’utilizzo, che viene rilasciato dopo che l'interessato ha svolto dei corsi specifici esplicativi sugli usi, le precauzioni, i dosaggi e le peculiarità dei prodotti stessi». Per questo motivo la Scam, tramite l’associazione Agrofarma, ha comunicato subito del furto degli agrofarmaci anche ai carabinieri del Nas, sede centrale a Roma, affinché, grazie proprio ad una tempestiva segnalazione, possano riuscire ad intercettare sul territorio nazionale, e non solo, i relativi canali del mercato nero. Perché si è trattato di un colpo su commissione, commesso nella notte tra domenica e lunedì scorsi, con modalità ben definite. La banda di ladri ha attaccato lo stabilimento dalla parte della campagna, creando un grande squarcio nella rete protettiva che circonda tutta la proprietà. Dopodiché, lasciando all'esterno il loro camion, si sono diretti al magazzino degli agrofarmaci dove, in circostanze su cui si indaga, l’allarme anti intrusione non è scattato. Dopodiché con vari giri, aiutandosi con carriole, hanno caricato il camion e si sono dileguati. Sul terreno, all'esterno, erano evidenti le tracce degli pneumatici. — ","[""400mila euro di agrofarmaci""]","[""MODENA"", ""azienda Scam""]",[],"[""banda di ladri"", ""basista""]","[""il direttore della Scam Felice Lo Faso""]","[""squadra Mobile e gli esperti della Scientifica"", ""l\u2019associazione Agrofarma"", ""carabinieri del Nas""]",,,Gazzetta di Modena,furto
1530685,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/04/10/news/pavullo-lavacchio-colpito-dai-ladri-furti-e-danni-alle-abitazioni-1.38700160,"Daniele Montanari / PAVULLO Colpita a tradimento, in un periodo emergenziale che a quanto pare non riesce a spegnere l'istinto predatorio. Così si è sentita la piccola comunità di Lavacchio, incantevole borgo che dai suoi 795 metri domina la vallata di Pavullo, celebre per la sua torre e i murales. Un luogo suggestivo che è anche un'oasi di pace: ci abitano 34 persone, che si sentono un po' come una grande famiglia. Mai episodi di criminalità qui, almeno in tempi recenti. L'idillio è stato rotto nella nottata tra lunedì e martedì, quando qualcuno ha fatto un raid nelle tre case storiche, recentemente ristrutturate, prossime al bosco. Presa di mira in primis quella del bolognese Stefano Masi, che l'ha ereditata dai nonni Olindo Ricci e Irma Gianelli. I ladri hanno preso un grosso sasso e lo hanno scagliato contro la finestra del bagno, dopo aver tolto gli scuretti, mandandola in mille pezzi. Tanto era pesante che dentro ha frantumato mezzo lavandino, oltre a rompere lo specchio. Aperto il varco, sono entrati e hanno messo tutto sottosopra («fin ribaltati i letti» nota Stefano) a caccia di qualsiasi cosa che avesse valore. E non c'era granché, trattandosi di seconda casa: si sono dovuti accontentare di un po' di attrezzi, tra cui un paio di trapani. Dentro però hanno trovato le chiavi dell'abitazione di fronte, dove sono entrati stavolta dall'ingresso facendo lo stesso il caos. Non potevano ovviamente lasciar stare la terza casa, dove hanno provveduto a rompere un'altra finestra procedendo all'interno da copione. Non hanno risparmiato il “trattamento” neanche a un vecchio capanno utilizzato come ricovero attrezzi. Ma alla fine non è certo stato un bottino eclatante: trapani, motosega, tagliaerba e qualche altra cosa da lavoro. È più il danno che hanno fatto, tra infissi e arredamento. Probabilmente era gente che aveva addocchiato da tempo le case. Lavacchio non è certo un luogo di passaggio: bisogna andarci apposta con una via d'accesso non proprio comodissima. E la stradina che conduce alle tre case depredate è chiusa: finisce nel bosco. Si è trattato quindi di ladri che hanno voluto colpire nel cuore di una piccola comunità “a tradimento”, in un momento in cui i vicini erano forzatamente chiusi in casa per l'anti-virus. In un periodo normale, il rischio di essere visti da qualcuno in giro sarebbe stato molto alto, in un borghetto. Così invece il raid è stato scoperto la mattina dal proprietario che si è recato nel capanno attrezzi per lavoro. C'è tanta rabbia tra la gente. Più che per il furto e i danni, per il gesto: «Approfittarsi di una situazione come questa è proprio da sciacalli - sottolinea Masi - speriamo che i carabinieri li trovino presto». «Ci siamo sentiti tutti feriti qui, non solo i proprietari - dicono i paesani - è sempre stato un luogo tranquillo questo: vedersi colpire adesso che dovremmo essere tutti un po' più solidali lascia senza parole. Anche solo per la difficoltà che si crea a chi deve risistemare le finestre, in un momento in cui gli artigiani sono fermi. Senza parole, davvero». Per la cronaca, i ladri han portato via anche tutte le chiavi, magari con l'intenzione di fare bis. Però i proprietari hanno trovato lo stesso qualcuno che ha cambiato le serrature e sistemato vetri e infissi. — ","[""trapani, motosega, tagliaerba e qualche altra cosa da lavoro""]","[""Lavacchio"", ""tre case storiche, recentemente ristrutturate, prossime al bosco""]","[""nella nottata tra luned\u00ec e marted\u00ec""]","[""ladri""]","[""Stefano Masi""]","[""comunit\u00e0 di Lavacchio""]",,,Gazzetta di Modena,furto
1589475,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/04/19/news/castelvetro-vede-un-ladro-nel-cortile-giulia-di-undici-anni-riesce-a-metterlo-in-fuga-1.38736684,"CASTELVETRO Non si ferma l’attività dei ladri anche in questo periodo di clausura casalinga. Ne sa qualcosa una giovanissima ragazza che abita a Castelvetro, nella zona di via Bixio. Undici anni, di nome Giulia, ma pronta a sventare con freddezza e comprensibile spavento un tentativo di furto nella sua abitazione. Succede che, intorno alle nove di sera, papà Massimo sia indaffarato in alcuni lavoretti in garage. Giulia decide così di seguirlo con il suo cagnolino e, attraversando il cortile, si accorge di una presenza sospetta. «Stavo sistemando quando mi è arrivato un messaggio da mia figlia con scritto: “Ho visto una persona in cortile”. Di impulso - continua papà Bosi - mi sono fiondato fuori dal garage, ma ormai era tardi. Purtroppo, nei giorni scorsi, mi si è “bruciata” una lampadina che illumina una zona ben precisa del mio cortile. Proprio la parte che si affaccia su di un campo che non è di mia proprietà. La persona che ha visto Giulia ha, probabilmente, scavalcato la rete e si è dileguata velocemente». Quindi Massimo ha avvisato i vicini: «È la prima cosa a cui ho pensato. Subito dopo aver tranquillizzato Giulia che si era un po’ spaventata. Praticamente si è trovata questa persona davanti. Mi ha raccontato: “Ero pure sovrappensiero, qualche passo e gli sarei andata a sbattere contro”. Diciamo che non è stata proprio una bella situazione. Lei si è rivelata molto brava a mantenere il sangue freddo e a correre immediatamente in casa». La tempestività di Giulia ha evitato che l’individuo riuscisse a compiere il proprio intento: «Ho fatto un giro attorno a casa, non manca nulla». — e.b. ",[],"[""a Castelvetro, nella zona di via Bixio""]","[""intorno alle nove di sera""]","[""una persona""]","[""Giulia"", ""pap\u00e0 Bosi""]",[],,,Gazzetta di Modena,furto
1530687,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/04/09/news/modena-catturato-ladro-seriale-delle-scuole-guidava-una-banda-1.38698882,"MODENA. Arrestato a Modena il ladro che aveva rubato in diverse scuole cittadine: è considerato il capo di una banda che si dedicava a questa attività. Su input della procura, la polizia ha eseguito ieri un'ordinanza cautelare di arresto domiciliare a carico di un cittadino tunisino 21enne, regolare nel territorio e residente a Castelvetro. È ritenuto responsabile di vari furti negli anni: alla scuola d'infanzia Tommaso Pellegrini, dove si è impossessato di una fotocamera digitale canon, di un personal computer e di un telefono cellulare, e alla scuola primaria Martin Luther King, da dove ha portato via 24 tablet oltre a 13 personal computer portatili. Ma anche, a inizio febbraio, alla scuola d'infanzia Sant'Agnese, nella quale il giovane ha prelevato un televisore e tre macchine fotografiche digitali. Dopo la denuncia della referente scolastica di una delle scuole derubate, in particolare, gli investigatori sono riusciti a provare che una parte della merce rubata fosse stata messa in vendita su internet. Grazie anche ad una perquisizione nell'abitazione dell'arrestato, N.M., Il materiale, in gran parte sequestrato, è già stato restituito alle scuole. Si è riusciti a risalire all'identità del ladro attraverso le immagini delle telecamere interne ed esterne delle scuole. Non solo: il tunisino è stato riconosciuto da un'operatrice scolastica, che aveva avuto modo di incrociarlo subito dopo un furto. Ad incastrare definitivamente il giovane, poi, sono state le rilevazioni delle impronte digitali estrapolate dalla polizia scientifica sui luoghi dei delitti, oltre ad altri riscontri nell'ambito dell'analisi tecnica delle varie telecamere cittadine e dei tabulati telefonici. ""Tutto ciò ha fatto emergere un quadro probatorio esaustivo nei riguardi di quello che è considerato il capo di una banda di ladri dedita ai furti nelle scuole, su cui le attività d'indagine vanno ancora avanti alla ricerca di ulteriori elementi a carico dei correi"", segnala la squadra mobile. ","[""una fotocamera digitale canon"", ""un personal computer"", ""un telefono cellulare""]","[""alla scuola d'infanzia Tommaso Pellegrini""]",[],"[""un cittadino tunisino 21enne, regolare nel territorio e residente a Castelvetro""]","[""la scuola d'infanzia Tommaso Pellegrini"", ""la scuola primaria Martin Luther King"", ""la scuola d'infanzia Sant'Agnese""]",[],,,Gazzetta di Modena,furto
1583002,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/04/18/news/officina-saccheggiata-macchinari-recuperati-nei-garage-di-due-giovani-1.38732735,"Avevano in gran parte saccheggiato un’officina meccanica, nella campagna lungo via Nonantolana, e stavano per fare piazza pulita, passando un ’altra volta per portare via altri attrezzi e macchinari che, fra l'altro, avevano già in impacchettato per l'asporto. Ma il proprietario si è accorto in tempo e gli uomini della squadra mobile della questura hanno recuperato tutta la refurtiva e denunciato per ricettazione un marocchino di diciotto anni e un italiano di venti. Qualche giorno fa il proprietario di un’officina meccanica ha scoperto che qualche ladro aveva approfittato del periodo di chiusura dell'azienda per mettere a segno un furto. I malviventi, dopo essere entrati all’interno dei locali, avevano saccheggiato l’officina impossessandosi di chiavi inglesi, trapani, di apparecchiature elettroniche per diagnostica di autovetture e di un ciclomotore per un valore in tutto di 5mila euro. Pensando di ritornare a finire il saccheggio, i ladri avevano anche smontato completamente tutte le apparecchiature che, debitamente impacchettate, erano state riposte in prossimità della porta d’uscita dell’officina per compiere il colpo in meno tempo e più agilmente. A questo punto il titolare, dopo aver sbarrato portoni e infissi, ha chiesto l'intervento delle forze dell'ordine e gli investigatori della Mobile si sono messi all’opera. I poliziotti si sono recati sul luogo per esaminare eventuali tracce che potessero far risalire agli autori del reato, e proprio durante l’attività di perlustrazione dello stabile, in aperta campagna, gli agenti hanno individuato un 18enne marocchino che, con le mani ancora sporche di grasso per motori, non è stato in grado di giustificare la propria presenza da quelle parti. Da qui sono quindi scattati approfondimenti nei suoi confronti: gli agenti sono andati a casa sua e nel garage di pertinenza è stata trovata una parte della refurtiva. Gli investigatori hanno proseguito l'indagine sospettando la presenza di un complice, che effettivamente è stato identificato in un ventenne di origine campana. Anche in questo caso la perquisizione è stata un successo e ha consentito di ritrovare la restante parte delle attrezzature rubate. Essendo impossibile attribuire a loro direttamente il furto nell’officina, i due giovani sono stati denunciati a piede libero per il reato di ricettazione. — ","[""chiavi inglesi, trapani, di apparecchiature elettroniche per diagnostica di autovetture e di un ciclomotore per un valore in tutto di 5mila euro""]","[""un\u2019officina meccanica, nella campagna lungo via Nonantolana""]","[""Qualche giorno fa""]","[""18enne marocchino"", ""un ventenne di origine campana""]","[""proprietario""]","[""gli investigatori della Mobile""]",,,Gazzetta di Modena,furto
1702757,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/05/09/news/modena-ruba-attrezzature-al-policlinico-catturato-grazie-alle-telecamere-1.38823649,"MODENA. Si era introdotto nel reparto di Malattie infettive del Policlinico e aveva rubato uno sfigmomanometro (lo strumento per misurare la pressione) e un telefono senza fili. Ma le telecamere lo hanno incastrato. La Polizia ha catturato un 36enne pluripregiudicato che il 29 aprile siera intrufolato in reparto per portare via le attrezzature: le immagini della videosorveglianza mostrano l'uomo, che ha effettuato un cambio di felpa durante il furto, entrare in azione. ","[""sfigmomanometro (lo strumento per misurare la pressione) e un telefono senza fili"", ""attrezzature""]","[""MODENA"", ""reparto di Malattie infettive del Policlinico""]","[""il 29 aprile siera""]","[""36enne pluripregiudicato""]","[""reparto di Malattie infettive del Policlinico""]","[""La Polizia""]",,,Gazzetta di Modena,furto
1756983,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/05/16/news/scoperto-mentre-ruba-in-discarica-arrestato-1.38853731,"Arresto in flagranza da parte degli agenti della polizia locale di Sassuolo ai danni del 55enne E.M., origini marocchine ma residente in città, per furto aggravato e porto d’armi da taglio. L'uomo si era introdotto nell'isola ecologica di via Madre Teresa, forzando gli ingressi e sottraendo diversi quantitativi di materiali: apparecchiature, cavi elettrici, attrezzi di lavoro poi trasferiti su un furgone parcheggiato nelle vicinanze. Gli agenti si sono appostati cogliendolo in flagranza di reato. La successiva perquisizione, estesa anche al furgone, ha consentito di rinvenire un notevole quantitativo di materiale nonchè tre coltelli. La refurtiva, il furgone e i coltelli sono stati sequestrati e messi a disposizione dell'autorità giudiziaria. «Abbiamo ricostituito il nucleo di Polizia Giudiziaria - commenta il sindaco Francesco Menani - sin dalla mia elezione perché credo sia indispensabile al contrasto dell’illegalità. I primi risultati non si sono fatti attendere, questo arresto ne è una prova». — A.S. ","[""apparecchiature, cavi elettrici, attrezzi di lavoro""]","[""via Madre Teresa""]",[],"[""55enne E.M., origini marocchine""]","[""isola ecologica""]","[""agenti della polizia locale di Sassuolo""]",,,Gazzetta di Modena,furto
1702759,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/05/08/news/accusato-di-furto-di-gioielli-per-oltre-400mila-euro-1.38821883,"È stato accusato di avere rubato numerosi gioielli a una donna che gli ha dato ospitalità, una facoltosa signora carpigiana, presso la sua abitazione. Ma l’ultima sentenza della Cassazione ha rovesciato lo scenario lasciando aperte numerose possibilità: da un’eventuale diminuzione della pena, fino a un’assoluzione, se trascorresse il tempo necessario perché si verifichi la prescrizione. Protagonista del caso è il reggiano Cosimo Miari, 70 anni, difeso dall’avvocato Noris Bucchi, al centro di una vicenda che si trascina da tempo e sulla quale non è ancora stata scritta la parola “fine”. La Corte di Appello di Bologna aveva infatti già ridotto la pena inflitta all’imputato, riformando parzialmente la sentenza emessa dal Gip di Modena. In quella circostanza, Miari era stato ritenuto colpevole di furto. Nel capo di imputazione, in particolare, si legge che, approfittando dell’ospitalità offerta dalla vittima durante cinque mesi, l’imputato avrebbe rubato diversi preziosi. In pratica, Miari, avrebbe sottratto, in un periodo che va da luglio a novembre, un ingente quantitativo di gioielli appartenenti alla donna presso la quale era ospite. Rispetto al valore dei gioielli rubati, nella sentenza del Tribunale di primo grado si afferma che c'era stata sottrazione - in due diverse occasioni- di beni per un valore complessivo 450mila euro. Un valore, tuttavia, contestato con l'atto di appello, con indicazione specifica degli elementi contrastanti emersi dalle prove. L’esame della Suprema Corte ha rigettato un punto della sentenza emessa dalla Corte d’appello, facendo sì che si possano aprire nuove possibilità sull’esito finale. Entrando nel dettaglio, la difesa dell’imputato, nel ricorso presentato alla Suprema Corte, sosteneva che l’imputato fosse reperibile e che la notifica del procedimento non gli fosse stata fatta ritualmente. La Cassazione spiega, invece, che il processo è stato radicato correttamente. Ma accoglie il punto della difesa sull’aggravante: l’impugnazione in ordine all’entità della pena inflitta è stato accolto. «L'aggravante del danno patrimoniale di rilevante gravità non risulta essere stata ritualmente contestata - si legge nella sentenza - Nel capo di imputazione è stata menzionata solo espressamente l'aggravante, mentre quanto all'indicazione delle cose sottratte si fa genericamente riferimento a “numerosi gioielli”». E se nella sentenza di primo grado si fa riferimento alla “sottrazione -in due diverse occasioni- di beni per un valore totale di 450mila euro” tale valore però “è stato contestato con l'atto di appello, con indicazione specifica degli elementi contrastanti emersi dalla prova dichiarativa sul punto - continua la sentenza - e in ordine a tale profilo la Corte territoriale non ha risposto, facendo solo riferimento all'elenco allegato al capo di imputazione, nel quale, però, non è indicato il valore dei beni sottratti». Motivo per cui il procedimento farà un passo indietro ritornando alla Corte d’Appello. — ","[""numerosi gioielli""]",[],"[""in un periodo che va da luglio a novembre""]","[""Cosimo Miari""]","[""signora carpigiana"", ""donna"", ""abitazione""]","["" ""]",,,Gazzetta di Modena,furto
1773111,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/05/19/news/ladri-scoperti-fuga-nella-notte-e-furto-sventato-1.38865377,"Colti sul fatto dai carabinieri, mentre stavano rubando nel deposito di una ceramica, i ladri si sono dati alla fuga su due furgoni. È andato così in scena un inseguimento lungo le via di Sassuolo. I malviventi, ormai braccati dai militari, hanno deciso di abbandonare i due veicoli fuggendo a piedi nelle campagne limitrofe. Il materiale rubato, diversissimi paletti in legno, saranno restituiti al proprietario. ","[""paletti in legno""]","[""Sassuolo"", ""deposito di una ceramica""]",[],"[""i ladri"", ""malviventi""]","[""deposito di una ceramica"", ""proprietario""]","[""carabinieri""]",,,Gazzetta di Modena,furto
1773112,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/05/19/news/riempie-due-carrelli-per-500-euro-e-non-paga-1.38865349,"Non uno, bensì due carrelli della spesa, pieni zeppi di generi alimentari e non solo. Un piccolo bazar mobile che una 22enne, con assoluta nonchalance, cercava di portare all’esterno dell’ipercoop I Portali, senza però passare dalla cassa. La mossa non è sfuggita al servizio di vigilanza interno: gli agenti si sono insospettiti, hanno fermato la giovane e chiesto spiegazioni sulla spesa che, se regolarmente pagata, avrebbe dovuto produrre uno scontrino di oltre 500 euro. Ma del pagamento non c’era traccia. La 22enne, incensurata e residente a Nonantola, è stata consegnata alla polizia che l’ha denunciata per furto. Altro intervento, sempre della Volante, in via della Cella. Il portiere di un condominio e un’agenzia immobiliare avevano chiesto un controllo in un appartamento vuoto: gli agenti sono entrati e vi hanno trovato un tunisino di 34 anni che dormiva su un materasso. L’uomo, irregolare e con un provvedimento specifico pendente, verrà espulso dall’Italia. — ","[""generi alimentari e non solo""]","[""all\u2019esterno dell\u2019ipercoop I Portali""]",[],"[""22enne, incensurata e residente a Nonantola""]",[],"[""agenti""]",,,Gazzetta di Modena,furto
